pegRNA_id,total,extracted,recombined
pegRNA_316,514.0,464.0,50.0
pegRNA_317,86.0,69.0,17.0
pegRNA_318,71.0,68.0,3.0
pegRNA_319,566.0,522.0,44.0
pegRNA_320,78.0,61.0,17.0
pegRNA_321,38.0,29.0,9.0
pegRNA_322,112.0,89.0,23.0
pegRNA_323,108.0,105.0,3.0
pegRNA_324,532.0,449.0,83.0
pegRNA_325,3.0,3.0,0.0
pegRNA_326,274.0,218.0,56.0
pegRNA_327,83.0,72.0,11.0
pegRNA_328,186.0,155.0,31.0
pegRNA_329,64.0,58.0,6.0
pegRNA_330,68.0,59.0,9.0
pegRNA_331,71.0,56.0,15.0
pegRNA_332,236.0,161.0,75.0
pegRNA_333,8.0,8.0,0.0
pegRNA_334,48.0,29.0,19.0
pegRNA_335,338.0,289.0,49.0
pegRNA_336,120.0,108.0,12.0
pegRNA_337,172.0,135.0,37.0
pegRNA_338,43.0,29.0,14.0
pegRNA_339,31.0,22.0,9.0
pegRNA_340,79.0,49.0,30.0
pegRNA_341,132.0,125.0,7.0
pegRNA_342,53.0,28.0,25.0
pegRNA_343,47.0,45.0,2.0
pegRNA_344,65.0,64.0,1.0
pegRNA_345,10.0,8.0,2.0
pegRNA_346,26.0,24.0,2.0
pegRNA_347,14.0,13.0,1.0
pegRNA_348,34.0,24.0,10.0
pegRNA_349,73.0,64.0,9.0
pegRNA_350,17.0,11.0,6.0
pegRNA_351,128.0,121.0,7.0
pegRNA_352,55.0,53.0,2.0
pegRNA_353,75.0,65.0,10.0
pegRNA_354,13.0,9.0,4.0
pegRNA_355,110.0,89.0,21.0
pegRNA_356,143.0,115.0,28.0
pegRNA_357,56.0,24.0,32.0
pegRNA_358,106.0,77.0,29.0
pegRNA_359,91.0,65.0,26.0
pegRNA_360,157.0,109.0,48.0
pegRNA_361,53.0,30.0,23.0
pegRNA_362,15.0,12.0,3.0
pegRNA_363,99.0,75.0,24.0
pegRNA_364,111.0,90.0,21.0
pegRNA_365,25.0,16.0,9.0
pegRNA_366,31.0,30.0,1.0
pegRNA_367,2.0,2.0,0.0
pegRNA_368,17.0,15.0,2.0
pegRNA_369,0.0,0.0,0.0
pegRNA_370,6.0,4.0,2.0
pegRNA_371,19.0,9.0,10.0
pegRNA_372,0.0,0.0,0.0
pegRNA_373,5.0,3.0,2.0
pegRNA_374,5.0,4.0,1.0
pegRNA_375,18.0,10.0,8.0
pegRNA_376,173.0,123.0,50.0
pegRNA_377,74.0,40.0,34.0
pegRNA_378,51.0,44.0,7.0
pegRNA_379,157.0,108.0,49.0
pegRNA_380,137.0,135.0,2.0
pegRNA_381,73.0,66.0,7.0
pegRNA_382,0.0,0.0,0.0
pegRNA_383,45.0,35.0,10.0
pegRNA_384,33.0,10.0,23.0
pegRNA_385,46.0,13.0,33.0
pegRNA_386,128.0,102.0,26.0
pegRNA_387,135.0,119.0,16.0
pegRNA_388,44.0,33.0,11.0
pegRNA_389,30.0,26.0,4.0
pegRNA_390,238.0,228.0,10.0
pegRNA_391,120.0,113.0,7.0
pegRNA_392,43.0,18.0,25.0
pegRNA_393,110.0,23.0,87.0
pegRNA_394,77.0,38.0,39.0
pegRNA_395,27.0,17.0,10.0
pegRNA_396,1319.0,1224.0,95.0
pegRNA_397,2676.0,2529.0,147.0
pegRNA_398,50.0,44.0,6.0
pegRNA_399,97.0,70.0,27.0
pegRNA_400,19.0,14.0,5.0
pegRNA_401,195.0,166.0,29.0
pegRNA_402,76.0,72.0,4.0
pegRNA_403,659.0,601.0,58.0
pegRNA_404,783.0,736.0,47.0
pegRNA_405,169.0,146.0,23.0
pegRNA_406,174.0,130.0,44.0
pegRNA_407,134.0,108.0,26.0
pegRNA_408,148.0,125.0,23.0
pegRNA_409,120.0,111.0,9.0
pegRNA_410,1466.0,1335.0,131.0
pegRNA_411,638.0,572.0,66.0
pegRNA_412,1031.0,950.0,81.0
pegRNA_413,1201.0,1123.0,78.0
pegRNA_414,945.0,853.0,92.0
pegRNA_415,2433.0,2312.0,121.0
pegRNA_416,2154.0,2091.0,63.0
pegRNA_417,2310.0,2218.0,92.0
pegRNA_418,43.0,7.0,36.0
pegRNA_419,1774.0,1721.0,53.0
pegRNA_420,320.0,212.0,108.0
pegRNA_421,51.0,1.0,50.0
pegRNA_422,40.0,4.0,36.0
pegRNA_423,2209.0,2181.0,28.0
pegRNA_424,1707.0,1578.0,129.0
pegRNA_425,5030.0,4840.0,190.0
pegRNA_426,4289.0,4130.0,159.0
pegRNA_427,4746.0,4579.0,167.0
pegRNA_428,3365.0,3256.0,109.0
pegRNA_429,3270.0,3154.0,116.0
pegRNA_430,2257.0,2197.0,60.0
pegRNA_431,1927.0,1819.0,108.0
pegRNA_432,2270.0,2200.0,70.0
pegRNA_433,4.0,2.0,2.0
pegRNA_434,573.0,519.0,54.0
pegRNA_435,569.0,544.0,25.0
pegRNA_436,1579.0,1527.0,52.0
pegRNA_437,157.0,118.0,39.0
pegRNA_438,117.0,0.0,117.0
pegRNA_439,0.0,0.0,0.0
pegRNA_440,2598.0,2504.0,94.0
pegRNA_441,2812.0,2703.0,109.0
pegRNA_442,2752.0,2640.0,112.0
pegRNA_443,31.0,5.0,26.0
pegRNA_444,1548.0,1495.0,53.0
pegRNA_445,1589.0,1537.0,52.0
pegRNA_446,4319.0,4192.0,127.0
pegRNA_447,4093.0,3956.0,137.0
pegRNA_448,4271.0,4133.0,138.0
pegRNA_449,3821.0,3672.0,149.0
pegRNA_450,1004.0,924.0,80.0
pegRNA_451,414.0,340.0,74.0
pegRNA_452,441.0,412.0,29.0
pegRNA_453,3417.0,3211.0,206.0
pegRNA_454,2952.0,2831.0,121.0
pegRNA_455,1927.0,1873.0,54.0
pegRNA_456,1643.0,1605.0,38.0
pegRNA_457,1424.0,1354.0,70.0
pegRNA_458,1908.0,1827.0,81.0
pegRNA_459,739.0,681.0,58.0
pegRNA_460,1573.0,1499.0,74.0
pegRNA_461,501.0,458.0,43.0
pegRNA_462,0.0,0.0,0.0
pegRNA_463,499.0,468.0,31.0
pegRNA_464,810.0,775.0,35.0
pegRNA_465,754.0,713.0,41.0
pegRNA_466,930.0,862.0,68.0
pegRNA_467,879.0,835.0,44.0
pegRNA_468,435.0,413.0,22.0
pegRNA_469,1264.0,1181.0,83.0
pegRNA_470,1079.0,1026.0,53.0
pegRNA_471,884.0,821.0,63.0
pegRNA_472,1417.0,1338.0,79.0
pegRNA_473,1094.0,1020.0,74.0
pegRNA_474,703.0,649.0,54.0
pegRNA_475,902.0,840.0,62.0
pegRNA_476,619.0,578.0,41.0
pegRNA_477,1578.0,1500.0,78.0
pegRNA_478,1368.0,1304.0,64.0
pegRNA_479,1594.0,1531.0,63.0
pegRNA_480,1580.0,1491.0,89.0
pegRNA_481,1393.0,1327.0,66.0
pegRNA_482,1846.0,1726.0,120.0
pegRNA_483,1303.0,1237.0,66.0
pegRNA_484,1180.0,1152.0,28.0
pegRNA_485,576.0,553.0,23.0
pegRNA_486,1290.0,1202.0,88.0
pegRNA_487,699.0,658.0,41.0
pegRNA_488,2040.0,1945.0,95.0
pegRNA_489,1921.0,1797.0,124.0
pegRNA_490,2086.0,1990.0,96.0
pegRNA_491,1314.0,1249.0,65.0
pegRNA_492,972.0,870.0,102.0
pegRNA_493,1387.0,1311.0,76.0
pegRNA_494,1376.0,1344.0,32.0
pegRNA_495,1541.0,1448.0,93.0
pegRNA_496,922.0,842.0,80.0
pegRNA_497,887.0,849.0,38.0
pegRNA_498,1775.0,1706.0,69.0
pegRNA_499,1355.0,1283.0,72.0
pegRNA_500,1067.0,1022.0,45.0
